"Week_ending_Friday","Week_number","Status","Dubai_crude_USD.p.bbl","NZ_US_exrate","Dubai_crude_NZD.p.bbl","Diesel_importer_cost_NZc.p.l","Diesel_ETS_NZc.p.l","Diesel_GST_NZc.p.l","Diesel_taxes_NZc.p.l","Diesel_price_excl_taxes_NZc.p.l","Diesel_main_port_price_NZc.p.l","Diesel_discounted_retail_price_NZc.p.l","Diesel_importer_margin_NZc.p.l","Diesel_margin_trend_NZc.p.l","Regular_Petrol_importer_cost_NZc.p.l","Regular_Petrol_ETS_NZc.p.l","Regular_Petrol_GST_NZc.p.l","Regular_Petrol_taxes_NZc.p.l","Regular_Petrol_price_excl_taxes_NZc.p.l","Regular_Petrol_main_port_price_NZc.p.l","Regular_Petrol_discounted_retail_price_NZc.p.l","Regular_Petrol_importer_margin_NZc.p.l","Regular_Petrol_margin_trend_NZc.p.l","Premium_Petrol_95R_importer_cost_NZc.p.l","Premium_Petrol_95R_ETS_NZc.p.l","Premium_Petrol_95R_GST_NZc.p.l","Premium_Petrol_95R_taxes_NZc.p.l","Premium_Petrol_95R_price_excl_taxes_NZc.p.l","Premium_Petrol_95R_main_port_price_NZc.p.l","Premium_Petrol_95R_discounted_retail_price_NZc.p.l","Premium_Petrol_95R_importer_margin_NZc.p.l","Premium_Petrol_95R_margin_trend_NZc.p.l","Diesel_main_port_price_excl_taxes_NZc.p.l"
2016-04-08,"2016w14","Final",35.14,0.68242,51.4932153219425,45.7849233901823,1.4685,11.7232202580029,12.0982202580029,76.3113017200191,106.185714285714,89.878021978022,30.5263783298368,32.6084946128308,53.3430306332024,1.2705,22.3489249880554,89.4779249880554,80.5933332537028,185.185714285714,171.341758241758,27.2503026205004,28.1406882253866,54.2336565929339,1.302,24.2754072014942,91.4044072014942,93.405048009961,193.185714285714,186.111455211455,39.1713914170271,39.4618459191428,90.4919037267081
2016-04-15,"2016w15","Final",39.72,0.68672,57.8401677539609,49.6633040008591,1.4685,12.1890587673196,12.5640587673196,79.4168917821309,109.757142857143,93.4494505494506,29.7535877812718,32.665235913537,56.2011377047085,1.2705,22.8147634973722,89.9437634973722,83.6989233158146,188.757142857143,174.913186813187,27.4977856111061,28.1552788309117,57.0853672833311,1.302,24.7412457108109,91.8702457108109,96.5106380720728,196.757142857143,189.682883782884,39.4252707887418,39.4918615161456,93.5974937888199
2016-04-22,"2016w16","Final",40.46,0.69606,58.1271729448611,50.1272123421399,1.7355,12.1517916865743,12.5267916865743,78.901444577162,109.471428571429,93.1637362637363,28.774232235022,32.7219772142432,54.2742935500277,1.5015,22.7774964166269,89.9064964166269,83.2194761108457,188.471428571429,174.627472527473,28.9451825608179,28.1698694364368,55.1466581970864,1.539,24.7039786300656,91.8329786300656,96.0251908671039,196.471428571429,189.39716949717,40.8785326700175,39.5218771131483,93.0820465838509
2016-04-29,"2016w17","Final",42.37,0.6912,61.2991898148148,53.6323145710862,1.7355,12.449928332537,12.824928332537,80.8890222169135,111.757142857143,95.4494505494506,27.2567076458274,32.7787185149494,58.1863249646133,1.5015,22.8892976588629,90.0182976588629,83.9648177257525,189.328571428571,175.484615384615,25.7784927611392,28.1844600419618,59.064986281849,1.539,24.8157798723016,91.9447798723016,96.7705324820107,197.328571428571,190.254312354312,37.7055462001617,39.5518927101511,95.0696242236025
2016-05-06,"2016w18","Final",42.24,0.69386,60.8768339434468,52.1368215517529,1.9491,12.7107978977544,13.0857978977544,82.4145526516961,113.757142857143,97.4494505494506,30.2777310999432,32.8354598156556,56.7461397903018,1.6863,22.9638318203536,90.0928318203536,84.2769121356904,189.9,176.056043956044,27.5307723453886,28.1990506474869,57.6214326483327,1.7278,24.8903140337923,92.0193140337923,97.0786268919486,197.9,190.825740925741,39.4571942436159,39.5819083071539,96.5951546583851
2016-05-13,"2016w19","Final",42.98,0.68046,63.1631543367722,54.5923354806297,2.0025,13.0834687052078,13.4584687052078,84.8456247013856,116.614285714286,100.306593406593,30.2532892207559,32.8922011163618,58.4298576177862,1.7325,23.1874343048256,90.3164343048256,85.7213953655041,191.614285714286,177.77032967033,27.2915377477179,28.213641253012,59.322387233742,1.775,25.1139165182643,92.2429165182644,98.5221101217623,199.614285714286,192.540026640027,39.1997228880203,39.6119239041566,99.0262267080745
2016-05-20,"2016w20","Final",45.66,0.677,67.4446085672083,57.8464085303886,2.0025,13.5306736741519,13.9056736741519,87.8269911610129,120.042857142857,103.735164835165,29.9805826306243,32.948942417068,61.9797329023585,1.7325,23.5228380315337,90.6518380315337,87.9574202102245,194.185714285714,180.341758241758,25.977687307866,28.2282318585371,62.8766577712384,1.775,25.4493202449724,92.5783202449724,100.758134966483,202.185714285714,195.111455211455,37.8814771952443,39.6419395011594,102.007593167702
2016-05-27,"2016w21","Final",45.75,0.67408,67.8702824590553,59.059409173785,2.0025,14.0710463449594,14.4460463449594,91.4294756330626,124.185714285714,107.878021978022,32.3700664592776,33.0056837177742,62.9110326069821,1.7325,23.9141423793598,91.0431423793598,90.5661158623984,197.185714285714,183.341758241758,27.6550832554164,28.2428224640621,63.8118428019614,1.775,25.8406245927985,92.9696245927985,103.366830618657,205.185714285714,198.111455211455,39.5549878166952,39.6719550981622,105.610077639752
2016-06-03,"2016w22","Final",46.13,0.6768,68.1589834515367,59.4393045509187,2.0025,14.2946488294314,14.6696488294314,92.9201588628763,125.9,109.592307692308,33.4808543119576,33.0624250184803,62.0818418144422,1.7325,24.1377448638318,91.2667448638318,92.0567990922121,198.9,185.056043956044,29.9749572777699,28.2574130695872,62.9790317320422,1.775,26.0642270772706,93.1932270772706,104.85751384847,206.9,199.825740925741,41.8784821164282,39.701970695165,107.100760869565
2016-06-10,"2016w23","Final",47.53,0.702675,67.6415127904081,58.5188554262366,2.0025,14.0151457238414,14.3901457238414,91.0568048256092,123.757142857143,107.449450549451,32.5379493993726,33.1563572245265,59.5877385631538,1.7325,23.8582417582418,90.9872417582418,90.193445054945,196.757142857143,182.913186813187,30.6057064917912,28.2943777598996,60.4517305509007,1.775,25.7847239716805,92.9137239716805,102.994159811203,204.757142857143,197.682883782884,42.5424292603026,39.755427084631,105.237406832298
