City, Station,Year, Month, Day,Hour,Temp,Twet(C),RH(%),Tdew(C)
Upper Hutt, Trentham Ews,2017,Jan,12,07,17.3,15.7,84.0,14.6
Upper Hutt, Trentham Ews,2017,Jan,12,08,18.1,16.0,79.0,14.4
Upper Hutt, Trentham Ews,2017,Jan,12,09,17.8,16.1,83.0,14.9
Upper Hutt, Trentham Ews,2017,Jan,12,10,18.6,16.3,78.0,14.7
Upper Hutt, Trentham Ews,2017,Jan,12,11,19.3,16.4,73.0,14.4
Upper Hutt, Trentham Ews,2017,Jan,12,12,17.3,16.3,90.0,15.6
Upper Hutt, Trentham Ews,2017,Jan,12,13,17.8,16.6,88.0,15.8
Upper Hutt, Trentham Ews,2017,Jan,12,14,17.7,16.7,90.0,16.0
Upper Hutt, Trentham Ews,2017,Jan,12,15,18.1,17.1,90.0,16.4
Upper Hutt, Trentham Ews,2017,Jan,12,16,18.2,17.4,92.0,16.9
Upper Hutt, Trentham Ews,2017,Jan,12,17,18.1,17.3,92.0,16.8
Upper Hutt, Trentham Ews,2017,Jan,12,18,18.0,17.4,94.0,17.0
Upper Hutt, Trentham Ews,2017,Jan,12,19,17.7,17.1,94.0,16.7
Upper Hutt, Trentham Ews,2017,Jan,12,20,17.7,16.9,92.0,16.4
Upper Hutt, Trentham Ews,2017,Jan,12,21,18.0,15.3,74.0,13.3
Upper Hutt, Trentham Ews,2017,Jan,12,22,16.6,13.7,71.0,11.3
Upper Hutt, Trentham Ews,2017,Jan,12,23,15.5,12.8,72.0,10.5
Upper Hutt, Trentham Ews,2017,Jan,13,00,12.3,11.4,89.0,10.6
Upper Hutt, Trentham Ews,2017,Jan,13,01,12.6,11.6,88.0,10.7
Upper Hutt, Trentham Ews,2017,Jan,13,02,13.7,11.8,78.0,9.9
Upper Hutt, Trentham Ews,2017,Jan,13,03,12.2,10.9,84.0,9.6
Upper Hutt, Trentham Ews,2017,Jan,13,04,13.1,11.4,80.0,9.7
Upper Hutt, Trentham Ews,2017,Jan,13,05,14.8,11.5,65.0,8.3
Upper Hutt, Trentham Ews,2017,Jan,13,06,13.5,11.3,75.0,9.2
