City, Year, Month, Day,Hour,Temp,Twet(C),RH(%),Tdew(C)
Gisborne,2017,Jan,18,0,16.1,14,78,12.3
Gisborne,2017,Jan,18,1,15.7,13.3,75,11.3
Gisborne,2017,Jan,18,2,15.6,12.9,72,10.6
Gisborne,2017,Jan,18,3,16,12.9,68,10.1
Gisborne,2017,Jan,18,4,15,12.7,75,10.6
Gisborne,2017,Jan,18,5,13.1,11.6,82,10.1
Gisborne,2017,Jan,18,6,14.8,12.8,78,11
Gisborne,2017,Jan,18,7,17.7,14.3,67,11.5
Gisborne,2017,Jan,18,8,21.4,15.8,53,11.4
Gisborne,2017,Jan,18,9,23.8,16.1,41,9.8
Gisborne,2017,Jan,18,10,25.8,16.5,34,8.8
Gisborne,2017,Jan,18,11,27.3,17.2,32,9.2
Gisborne,2017,Jan,18,12,28.6,17.8,30,9.3
Gisborne,2017,Jan,18,13,29.8,19,32,11.3
Gisborne,2017,Jan,18,14,30,19.6,34,12.4
Gisborne,2017,Jan,18,15,29.7,19,32,11.3
Gisborne,2017,Jan,18,16,26.9,19,44,13.6
Gisborne,2017,Jan,18,17,24.1,17.6,50,13
Gisborne,2017,Jan,18,18,23.1,17.2,53,13
Gisborne,2017,Jan,18,19,22,16.6,55,12.6
Gisborne,2017,Jan,18,20,21,16.4,60,13
Gisborne,2017,Jan,18,21,21.8,16.6,56,12.6
Gisborne,2017,Jan,18,22,22.8,16.4,49,11.6
Gisborne,2017,Jan,18,23,22.5,16.2,49,11.3
Gisborne,2017,Jan,19,0,21.3,15.7,53,11.4
Gisborne,2017,Jan,19,1,20.5,15.3,55,11.2
Gisborne,2017,Jan,19,2,20.4,15.4,56,11.3
Gisborne,2017,Jan,19,3,20.7,15.5,55,11.4
Gisborne,2017,Jan,19,4,20.2,15.3,57,11.4
Gisborne,2017,Jan,19,5,19.9,14.7,54,10.3
Gisborne,2017,Jan,19,6,19.4,14.4,55,10.2
Gisborne,2017,Jan,19,7,19.9,15.1,57,11.1
Gisborne,2017,Jan,19,8,20.7,15.1,52,10.5
Gisborne,2017,Jan,19,9,21.7,15.3,47,9.9
Gisborne,2017,Jan,19,10,21.9,15,44,9.1
Gisborne,2017,Jan,19,11,24,16.4,42,10.3
Gisborne,2017,Jan,19,12,22.9,16.7,50,11.9
Gisborne,2017,Jan,19,13,22.3,16.8,55,12.8
Gisborne,2017,Jan,19,14,22.4,17.1,56,13.2
Gisborne,2017,Jan,19,15,23,17.6,56,13.8
Gisborne,2017,Jan,19,16,23.7,18,55,14.1
Gisborne,2017,Jan,19,17,25,15.9,34,8.1
Gisborne,2017,Jan,19,18,22.5,15.2,42,9
Gisborne,2017,Jan,19,19,20.8,13.3,38,6
Gisborne,2017,Jan,19,20,19.3,12.6,41,5.7
Gisborne,2017,Jan,19,21,18,12,45,5.9
